condition,condition_family,layer,centroid_norm_base,abs_disp_l2_mean_base,rel_disp_l2_mean_base,pairwise_l2_mean_base,pairwise_cosine_distance_mean_base,cos_to_centroid_mean_base,cos_to_centroid_std_base,angular_disp_to_centroid_base,effective_rank_pr_base,spectral_entropy_base,spectral_entropy_norm_base,top1_pc_variance_share_base,cov_trace_base,centroid_norm_instruct,abs_disp_l2_mean_instruct,rel_disp_l2_mean_instruct,pairwise_l2_mean_instruct,pairwise_cosine_distance_mean_instruct,cos_to_centroid_mean_instruct,cos_to_centroid_std_instruct,angular_disp_to_centroid_instruct,effective_rank_pr_instruct,spectral_entropy_instruct,spectral_entropy_norm_instruct,top1_pc_variance_share_instruct,cov_trace_instruct,centroid_norm_instruct_minus_base,centroid_norm_instruct_over_base,abs_disp_l2_mean_instruct_minus_base,abs_disp_l2_mean_instruct_over_base,rel_disp_l2_mean_instruct_minus_base,rel_disp_l2_mean_instruct_over_base,pairwise_l2_mean_instruct_minus_base,pairwise_l2_mean_instruct_over_base,pairwise_cosine_distance_mean_instruct_minus_base,pairwise_cosine_distance_mean_instruct_over_base,cos_to_centroid_mean_instruct_minus_base,cos_to_centroid_mean_instruct_over_base,cos_to_centroid_std_instruct_minus_base,cos_to_centroid_std_instruct_over_base,angular_disp_to_centroid_instruct_minus_base,angular_disp_to_centroid_instruct_over_base,effective_rank_pr_instruct_minus_base,effective_rank_pr_instruct_over_base,spectral_entropy_instruct_minus_base,spectral_entropy_instruct_over_base,spectral_entropy_norm_instruct_minus_base,spectral_entropy_norm_instruct_over_base,top1_pc_variance_share_instruct_minus_base,top1_pc_variance_share_instruct_over_base,cov_trace_instruct_minus_base,cov_trace_instruct_over_base
target,target,0,33.10863497389326,47.6450022176564,1.439050636041742,65.50036864607243,0.7707816136393445,0.5534406448713828,0.3511671860666215,0.4465593551286172,3.666559421080565,1.4604499442481127,0.634265351882867,0.4408295020844531,2758.619491536674,33.090804289724495,47.4343914201512,1.4334614234468546,65.1523084471549,0.7713657918411235,0.5529574448224774,0.3539805842493919,0.4470425551775225,3.629517443501092,1.455251625821866,0.6320077508751721,0.4455110499851624,2729.298975499888,-0.01783068416876432,0.9994614491299981,-0.21061079750519696,0.995579582585723,-0.005589212594887538,0.9961160417459267,-0.3480601989175369,0.9946861337407237,0.0005841782017790287,1.0007579036531762,-0.0004832000489053412,0.9991269162205881,0.002813398182770377,1.008011563418766,0.00048320004890528567,1.001082051114493,-0.03704197757947281,0.9898973469876164,-0.00519831842624674,0.996440604864469,-0.0022576010076948982,0.9964406048635804,0.004681547900709293,1.0106198606889105,-29.320516036786103,0.9893713083204331
target,target,1,778.773576280881,513.5496923187504,0.6594338944719502,692.0903991379885,0.3550582204876475,0.8196701806175108,0.1813924340472195,0.1803298193824891,1.7983519286422922,0.9297490407499736,0.4037848779525551,0.7306232672651185,308317.69820108707,744.7153133071674,527.7592835353211,0.7086725277497271,698.7313970750805,0.3852438652182056,0.7996985864289509,0.2081789289101941,0.2003014135710491,1.564681216069537,0.777982633627709,0.3378735648010732,0.7908095157519573,321465.02035733726,-34.05826297371357,0.9562667969085912,14.20959121657063,1.0276693598090016,0.04923863327777689,1.074668035248826,6.640997937092038,1.0095955643155323,0.03018564473055807,1.085016042405708,-0.019971594188559982,0.9756345971077175,0.026786494862974602,1.1476715112321276,0.01997159418856001,1.1107503698270138,-0.2336707125727553,0.8700639686526538,-0.15176640712226452,0.8367662665178118,-0.06591131315148185,0.8367662665166395,0.060186248486838845,1.0823765833670296,13147.322156250186,1.0426421260698289
target,target,2,777.6723753220481,487.721638262075,0.6271556682981057,661.3905168917938,0.3360059226388007,0.8317778462993737,0.1606427967057344,0.1682221537006263,1.996373196946668,1.026804508425606,0.4459355320026216,0.6861484000106941,280164.34525440657,765.50188504523,499.50884967414567,0.6525246500792501,666.3030279815159,0.3421359832076621,0.8260133791194418,0.1728441202618781,0.1739866208805581,1.7002063600415045,0.8706366984663356,0.3781127138863949,0.7546813262388786,289290.0702570876,-12.1704902768181,0.9843501059533212,11.78721141207069,1.0241679074442374,0.02536898178114444,1.0404508530536718,4.912511089722102,1.0074275499334455,0.006130060568861395,1.018243906296952,-0.0057644671799318425,0.9930697033990851,0.0122013235561437,1.0759531320748739,0.005764467179931815,1.0342669919037903,-0.29616683690516354,0.8516475590040056,-0.1561678099592705,0.8479089167619942,-0.0678228181162267,0.847908916760919,0.06853292622818452,1.0998806179917004,9125.725002681022,1.0325727565168734
target,target,3,784.4949481644143,505.6392729654543,0.6445411460565351,696.344267456173,0.3533466733445984,0.8235716020950814,0.1484558148927053,0.1764283979049186,2.137893725773787,1.111122233086254,0.4825542545493788,0.6600622114957435,302165.2824648028,675.219050843243,476.6918475008607,0.7059810396426854,651.8766045003402,0.4071652875988155,0.7921053059873799,0.1849175302880067,0.20789469401262,1.9894487404577077,1.0531612712217409,0.4573821286458159,0.6906362062628799,267489.2408251847,-109.27589732117121,0.8607054161701624,-28.947425464593607,0.942750836392069,0.06143989358615032,1.0953234622195336,-44.46766295583279,0.9361412665630474,0.05381861425421708,1.1523110823250304,-0.031466296107701464,0.9617928835469604,0.03646171539530141,1.245606515449786,0.03146629610770141,1.178351651322487,-0.1484449853160792,0.9305648435526037,-0.05796096186451316,0.9478356564745639,-0.02517212590356288,0.9478356564734528,0.030573994767136403,1.0463198683905983,-34676.04163961811,0.8852414765959842
target,target,4,604.8531331913023,513.5603288575185,0.8490661628020191,708.8467042937639,0.4907140825144915,0.7462019843374879,0.1749438702126113,0.2537980156625121,2.3185893632251835,1.1807434860374624,0.5127903805292792,0.6273325241994336,311196.55107886856,506.81619085631024,461.9864442782461,0.9115463408887524,637.5361837563988,0.5314709277462577,0.7213532809493315,0.1911839186739556,0.2786467190506685,2.3406561507859087,1.1936523539916568,0.5183966306494034,0.6245096491079914,251684.68722193327,-98.03694233499203,0.8379161205337001,-51.573884579272374,0.8995758011643811,0.06248017808673334,1.0735869368288895,-71.31052053736505,0.8993992352572001,0.0407568452317662,1.0830561964348753,-0.024848703388156368,0.9666997623824535,0.016240048461344303,1.0928300513788494,0.024848703388156423,1.097907398220564,0.02206678756072522,1.0095173332154947,0.012908867954194436,1.010932830124268,0.005606250120124279,1.0109328301231526,-0.0028228750914421896,0.9955001933049142,-59511.86385693529,0.8087643849180938
target,target,5,959.7190267684032,469.2013524848709,0.4888944987000834,670.2247406072534,0.2253326462373344,0.892778613629417,0.0686024177028321,0.1072213863705829,3.511162980656608,1.4668896193192982,0.6370620672315328,0.4513279388310515,266971.1412503939,910.9821442052672,425.9313585436736,0.4675518189385061,608.0029086750748,0.2117726206922415,0.8995955168440872,0.0691581331729154,0.1004044831559127,3.4992997534801726,1.4646606514841405,0.6360940388003841,0.4523911053220802,220596.55317343425,-48.736882563135964,0.9492175509667186,-43.2699939411973,0.9077794773777993,-0.021342679761577277,0.9563450195915858,-62.22183193217859,0.9071627348823266,-0.01356002554509289,0.9398221883403861,0.006816903214670211,1.0076356031714848,0.0005557154700833039,1.008100523096466,-0.0068169032146701974,0.9364221686889427,-0.011863227176435398,0.996621282679617,-0.0022289678351576914,0.9984804801896474,-0.0009680284311487375,0.998480480188761,0.001063166491028722,1.0023556407626348,-46374.588076959626,0.8262936291175209
target,target,6,1090.1980670135963,516.0125939728073,0.4733200411796101,733.8331336689282,0.1956144743003784,0.9071214919283918,0.0468191829776138,0.0928785080716082,3.585480939711259,1.4726956250323024,0.6395835834745893,0.4373255065569811,321659.2607632777,1006.7887912136767,452.4903056737924,0.4494391570731713,643.8467692334539,0.192655662119303,0.9090109459016024,0.0524246371559219,0.0909890540983976,3.6450290941646384,1.4871206434642896,0.6458482893809541,0.4367539227884206,249281.42532268804,-83.40927579991956,0.9234916311781718,-63.52228829901486,0.8768977946643619,-0.023880884106438793,0.9495460110924687,-89.98636443547434,0.8773748958628067,-0.0029588121810754098,0.9848742676499652,0.0018894539732106086,1.0020829117036925,0.005605454178308093,1.1197255872634209,-0.0018894539732106086,0.9796567148480301,0.059548154453379354,1.0166081358271446,0.01442501843198718,1.009794976087242,0.0062647059063647426,1.009794976086349,-0.0005715837685604797,0.9986930015263478,-72377.83544058967,0.7749860045414471
target,target,7,1191.503160172568,700.5656688321776,0.5879679485958834,989.0952394119978,0.2279659686637424,0.8879977101756211,0.0449852534650522,0.1120022898243788,2.8926239660488653,1.3340607873835963,0.5793752384842031,0.529584457841842,601466.4360918063,1052.3371291755534,609.4861624782312,0.5791738650861142,865.5496717316034,0.2362785593622039,0.8846178957376933,0.0643837779621753,0.1153821042623066,3.1684375509285303,1.3906355294129855,0.6039453367626668,0.4892707606139539,460670.78303627,-139.16603099701456,0.8832012908997575,-91.07950635394639,0.8699914791631538,-0.00879408350976918,0.9850432603822109,-123.54556768039436,0.8750923442379106,0.008312590698461492,1.0364641737806328,-0.003379814437927786,0.9961938928443232,0.0193985244971231,1.4312196331351574,0.0033798144379278,1.0301762976649604,0.275813584879665,1.0953506532877528,0.05657474202938917,1.0424079191618418,0.02457009827846368,1.0424079191608242,-0.040313697227888134,0.9238767365018641,-140795.65305553627,0.7659127016789253
target,target,8,2120.691562687688,884.3791079042464,0.4170239196799632,1222.453911274766,0.0854275181616664,0.9592914160216616,0.0122104826058235,0.0407085839783383,1.984188510204378,1.0570683565412369,0.4590789542403982,0.691780843638338,955164.6346477596,1882.9496764250052,733.3881299735552,0.3894889699686376,1021.4654613781548,0.0866759106309652,0.9592012223223826,0.017432503571721,0.0407987776776174,2.348205591908636,1.2016473289807497,0.521868804170121,0.6227626350632334,651060.1228785345,-237.74188626268278,0.887894170729204,-150.9909779306912,0.8292689452055213,-0.02753494971132564,0.9339727329468517,-200.9884498966111,0.8355860715542048,0.001248392469298809,1.0146134699350822,-9.019369927898424e-05,0.99990597883107,0.005222020965897498,1.4276670409390135,9.01936992791022e-05,1.0022155940949673,0.36401708170425806,1.183458920274455,0.1445789724395128,1.1367735317623575,0.06278984992972286,1.1367735317609573,-0.06901820857510466,0.9002311075672291,-304104.5117692251,0.6816208423782659
target,target,9,3301.521928747175,1008.6844502275706,0.3055210511990555,1379.4965943474365,0.0383469219476102,0.9821536179575964,0.0051093662639934,0.0178463820424037,1.7678510457860852,0.9576739282522774,0.4159125025025747,0.7409398624657972,1204898.537617927,2733.417452635136,812.3232844065129,0.2971822996240097,1133.5853820527009,0.0456258484277535,0.9788831234454536,0.0077530070762145,0.0211168765545464,2.151062834547039,1.1508243036946628,0.499796644734744,0.6607465990920465,788543.3777577773,-568.1044761120388,0.8279264871254035,-196.36116582105763,0.8053294409597004,-0.008338751575045766,0.9727064582185353,-245.9112122947356,0.8217384419052782,0.007278926480143305,1.1898177509239987,-0.0032704945121427853,0.9966700784344301,0.0026436408122211003,1.5174107069469436,0.003270494512142702,1.1832581249907472,0.38321178876095385,1.2167670119454774,0.19315037544238545,1.2016869936030072,0.08388414223216928,1.2016869936013725,-0.08019326337375077,0.8917681887059433,-416355.1598601496,0.6544479498802614
