model_tag,condition,condition_family,layer,n_points,d_model,centroid_norm,abs_disp_l2_mean,rel_disp_l2_mean,pairwise_l2_mean,pairwise_cosine_distance_mean,cos_to_centroid_mean,cos_to_centroid_std,angular_disp_to_centroid,effective_rank_pr,spectral_entropy,spectral_entropy_norm,top1_pc_variance_share,cov_trace
base,target,target,0,10,3840,33.10863497389326,47.6450022176564,1.4390506360417419,65.50036864607243,0.7707816136393445,0.5534406448713828,0.3511671860666215,0.4465593551286172,3.6665594210805645,1.4604499442481127,0.634265351882867,0.44082950208445315,2758.619491536674
base,target,target,1,10,3840,778.773576280881,513.5496923187504,0.6594338944719502,692.0903991379885,0.35505822048764757,0.8196701806175108,0.18139243404721955,0.18032981938248915,1.7983519286422922,0.9297490407499737,0.40378487795255513,0.7306232672651185,308317.69820108707
base,target,target,2,10,3840,777.6723753220481,487.721638262075,0.6271556682981057,661.3905168917938,0.33600592263880075,0.8317778462993737,0.16064279670573448,0.16822215370062632,1.9963731969466676,1.0268045084256059,0.44593553200262165,0.6861484000106941,280164.34525440657
base,target,target,3,10,3840,784.4949481644143,505.6392729654543,0.6445411460565351,696.344267456173,0.3533466733445984,0.8235716020950814,0.1484558148927053,0.1764283979049186,2.137893725773787,1.111122233086254,0.48255425454937884,0.6600622114957435,302165.2824648028
base,target,target,4,10,3840,604.8531331913023,513.5603288575185,0.8490661628020191,708.8467042937639,0.49071408251449156,0.7462019843374879,0.1749438702126113,0.25379801566251214,2.3185893632251835,1.1807434860374624,0.5127903805292792,0.6273325241994336,311196.55107886856
base,target,target,5,10,3840,959.7190267684032,469.2013524848709,0.4888944987000834,670.2247406072534,0.22533264623733448,0.892778613629417,0.06860241770283212,0.10722138637058298,3.511162980656608,1.4668896193192982,0.6370620672315328,0.4513279388310515,266971.1412503939
base,target,target,6,10,3840,1090.1980670135965,516.0125939728073,0.47332004117961013,733.8331336689282,0.19561447430037843,0.9071214919283918,0.046819182977613866,0.09287850807160825,3.585480939711259,1.4726956250323024,0.6395835834745893,0.43732550655698116,321659.2607632777
base,target,target,7,10,3840,1191.503160172568,700.5656688321776,0.5879679485958834,989.0952394119978,0.22796596866374247,0.8879977101756211,0.04498525346505228,0.11200228982437888,2.8926239660488653,1.3340607873835963,0.5793752384842031,0.529584457841842,601466.4360918063
base,target,target,8,10,3840,2120.691562687688,884.3791079042464,0.4170239196799632,1222.453911274766,0.08542751816166647,0.9592914160216617,0.012210482605823508,0.04070858397833832,1.9841885102043781,1.0570683565412367,0.4590789542403982,0.691780843638338,955164.6346477597
base,target,target,9,10,3840,3301.521928747175,1008.6844502275706,0.30552105119905554,1379.4965943474365,0.03834692194761028,0.9821536179575963,0.005109366263993483,0.01784638204240374,1.7678510457860852,0.9576739282522774,0.4159125025025747,0.7409398624657972,1204898.537617927
base,target,target,10,10,3840,3598.8251119938845,1424.8874497815218,0.3959312846386359,1922.7669532501468,0.039996963416029686,0.9806586993925054,0.002985132126986294,0.019341300607494616,1.361604237891426,0.6332679886550902,0.2750247930388767,0.8538853108143777,2466991.592340243
base,target,target,11,10,3840,6963.086312175005,1796.0867748229098,0.2579440630633056,2489.4143007401126,0.012612871322222722,0.9941860485841996,0.001550899259490995,0.0058139514158004335,1.2598107015332314,0.5258419720792785,0.22837026682715444,0.8893327299186876,4189867.744753442
base,target,target,12,10,3840,7499.087954298168,1797.0243446937834,0.2396323867176145,2522.8527116481314,0.013038896063532653,0.9940239130472953,0.0018824331171022172,0.0059760869527046845,1.3266590785109094,0.6130246743530948,0.266233233342087,0.8658213941913427,4260697.370941704
