condition,layer,n_points,linear_cka_base_instruct,same_prompt_delta_l2_mean,same_prompt_delta_l2_std,same_prompt_cosdist_mean,base_norm_mean,instruct_norm_mean,instruct_over_base_norm_mean
all,0,50,0.9999061243924284,8.606240060749364,3.026016589957036,0.011692187141725974,59.82423624170757,59.59164820557361,0.9961123903049995
all,1,50,0.9952809880831809,114.80124954001795,31.004451814326,0.009220459115639117,906.1830107418832,866.9591365051161,0.9346704035278723
all,2,50,0.9939481215755304,125.22032405465903,19.188566075352565,0.008941466358976184,895.2889294416292,875.1179753545898,0.9600090655566441
all,3,50,0.9890712360455892,156.20964464031988,37.82662316387713,0.012460420541139303,928.0384502341337,822.4995322751549,0.8820779946565679
all,4,50,0.992781932896416,165.59454911170542,28.33322874007383,0.015453638434918012,795.1888341801559,687.7535389023536,0.8663295466267334
all,5,50,0.9955208567093985,141.05859116679724,26.81446079032642,0.005980649789682062,1102.6119026132678,1023.8398352993,0.928672974195822
all,6,50,0.9875874590523535,184.03877043189243,73.54823897488744,0.007067030019068567,1214.215720432534,1110.8368300791244,0.9227238786260864
all,7,50,0.9804759474610057,223.03764333696176,91.03783915637739,0.008511903555658229,1333.4073119993184,1187.9208369319545,0.8994407488619163
all,8,50,0.9754621770075278,302.0023205051724,178.1902155133661,0.003609711148802317,2190.6094434048437,1956.3600732927039,0.904284041849251
all,9,50,0.9729882678494243,555.2445964547944,234.9482087163601,0.001921063965409877,3391.4120157436446,2873.429661030278,0.8527669347409776
all,10,50,0.9510100967594072,579.5452744449062,349.9551742059797,0.0022328480737932965,3676.0332370296233,3162.002270584864,0.8694304840800406
all,11,50,0.9597302269154535,848.0306170063865,418.7819186358937,0.0008854065111186338,6952.65538700855,6166.39616813022,0.890869602648687
all,12,50,0.91993380706422,1047.321996571886,586.4874403896202,0.0011537575863590432,7383.46710538966,6420.670410858938,0.8767923927351764
all,13,50,0.8967656715537666,1288.7557458289184,516.8706665263037,0.0012400901749309967,8432.462821076897,7251.167578628076,0.8620450585452336
all,14,50,0.9093067944993034,1802.8826483292492,744.0726655489402,0.0005478281522462236,14517.699992947464,12790.105511648699,0.8839537005753496
all,15,50,0.8634854585700964,1955.3375620664133,959.6647496808896,0.00041238269340663656,19165.545417402114,17306.559625505713,0.9048487553521192
all,16,50,0.7380582542701252,2290.2489758380516,1081.7476476416382,0.000374220698353942,23708.037578782187,21570.71206562914,0.9110519484569716
all,17,50,0.7045670239295867,2769.1098094236745,1583.9244973489747,0.0003969264814229301,27155.262351787595,24737.945243021095,0.9167713466890851
all,18,50,0.6015159912697992,2930.217611375578,1775.6299216825214,0.000439026134170184,31931.089851161512,29680.064759551784,0.9346953451484888
all,19,50,0.5955145076835389,2710.8476086750584,1625.8025724000445,0.00041782307775707796,36538.55225714034,36295.864829245584,0.9975307272521712
all,20,50,0.6085053459907024,3266.172798967142,1855.0544060466693,0.00045796999625427495,39126.199857393585,39683.93583690179,1.019323774413012
all,21,50,0.5365606514537776,4023.6484987704357,2057.1794870037184,0.0004705254839735584,42382.11879847957,44002.23797943759,1.0456479158038612
all,22,50,0.7359217809618865,4808.774131280705,2288.93545077642,0.0005230114406608633,47798.57644542389,50886.841891609794,1.0701771948712897
all,23,50,0.7905068893332985,4849.056080190539,2658.903869129765,0.0006097356563742418,55261.39929356009,58155.34525598211,1.0588701745327378
all,24,50,0.9174290020656392,3699.959329625143,1640.0347919282244,0.0008416706281653652,61199.54014724021,60642.50381965478,0.9965256050084847
all,25,50,0.9091294142483534,4683.607597316662,1805.9495829797554,0.0009447866138105266,65736.89976646917,63809.63771447944,0.9775032425405152
all,26,50,0.924144466590933,4189.41383468961,1682.9000932609715,0.0010791947593826623,66686.82343366624,65742.78847059158,0.9900727278901327
all,27,50,0.9117190173975998,5214.485289607539,2893.442122104684,0.0013849328601266953,68882.43307779983,66395.9006484947,0.9688940033125065
all,28,50,0.8566194453333635,6810.1372786787615,3834.371613332547,0.0018240976942572606,70282.70489340973,65428.894401275065,0.9343750030998875
all,29,50,0.8399043393690792,8535.119106426902,4406.5825286274285,0.0022321209115636286,74349.83883522001,67585.1482026395,0.9118052957391893
all,30,50,0.8341742263943106,8831.581782271962,4611.854992376766,0.00272880573063905,73430.20935940978,66731.25553083252,0.9124687945335146
all,31,50,0.7981955364967716,12062.011796412415,5985.455572906192,0.0032288581538586427,75558.65199045444,65090.75369530301,0.86573734765402
all,32,50,0.7894586221764059,12574.638341041345,6113.360326081657,0.0038251565620711814,76572.3267436915,65843.50507235319,0.8645508533107461
all,33,50,0.7703740406559403,12802.781735097185,6593.051698464854,0.004310602662950587,78039.59821718436,67444.34244255425,0.8702531898352736
all,34,50,0.7605787992449429,13372.007829590411,6919.254058471674,0.004942994523384914,81372.19399969773,70672.06353198386,0.8748009737856463
all,35,50,0.7323629142945272,15632.610252151566,7766.193241768108,0.004861580685401228,91091.82619863674,78217.4935249556,0.8651304390783534
all,36,50,0.7760504340702145,16725.13108500342,7636.5946207004545,0.00585896670202231,92531.11531961049,79055.4444652226,0.8620021052671497
all,37,50,0.8004655351501567,21301.1049230091,8928.59334672056,0.006245762176244272,101810.99729632039,83526.2835789262,0.8295004511331198
all,38,50,0.8170591467988146,23603.08364576642,9416.015757636062,0.006409304983562265,108515.9493517609,87976.78397057403,0.819824415968866
all,39,50,0.8207349537519407,25868.67396097574,9967.950266831242,0.006634849024016021,115691.33885432885,93083.1945654357,0.8135688993885227
all,40,50,0.8231301402809192,28568.62019981683,10578.601003332926,0.00689744951465612,126205.86387371346,101092.50644382277,0.8083136518240254
all,41,50,0.8092701184986484,30162.65579142482,10590.863459155615,0.006171267806307827,142426.61887918488,116039.53718312249,0.8197931646477095
all,42,50,0.8232460651448219,36286.59921036898,11638.133532036427,0.006588971835133863,155236.79889184213,122604.1554446944,0.7939262537815283
all,43,50,0.8391676267822336,37482.033897553774,11030.394511485643,0.007369918011712455,161053.19294484385,127778.00164365521,0.7960294495551737
all,44,50,0.8500482708614487,41227.96867396634,11478.780874832577,0.007886890931382428,173374.39108406974,136666.13899605698,0.7892609878199702
all,45,50,0.8642144313073008,41592.37251064822,11011.162453054352,0.008120677604496388,185780.56075762506,149751.33931158882,0.8059109034522065
