model_tag,condition,condition_family,layer,n_points,centroid_norm,abs_disp_l2_mean,rel_disp_l2_mean,pairwise_l2_mean,pairwise_cosine_distance_mean,cos_to_centroid_mean,cos_to_centroid_std,angular_disp_to_centroid,centroid_to_global_l2,centroid_to_global_cosdist,effective_rank_pr,spectral_entropy,spectral_entropy_norm,top1_pc_variance_share,cov_trace,centroid_to_question_only_l2,centroid_to_question_only_cosdist
base,control,control,38.5,10.0,122916.71054694166,22212.848704879885,0.18226358811581483,32493.059891873258,0.019499551765050735,0.9911408252410511,0.00612823161547146,0.00885917475894891,2874.9795694435984,0.0002043579465046963,2.1631709860981783,1.1763592154942617,0.5108863160251961,0.6706866907624959,684580781.8152498,6308.885072143823,0.000551734376220852
base,question_only,question_only,38.5,10.0,127500.85859058368,24826.219943778782,0.19716132963208283,35453.92798506747,0.019481200227061932,0.9911246614000255,0.006523209779120029,0.008875338599974494,5045.766695173753,0.00033499046317381827,1.7910727654741965,0.9788883757237063,0.42512581997604265,0.7458288615324007,825350316.5025771,0.0,-3.0839528461809905e-17
base,target,target,38.5,10.0,124817.26342203241,22462.655706106496,0.18030135748795764,32684.15216131066,0.019063613876968113,0.9913399714639429,0.0058212801410887005,0.008660028536057025,2467.802721194132,0.00015855414998390395,2.142413475866717,1.1729687482738216,0.509413854820285,0.6704399865882453,708264078.8536206,5985.578771518855,0.0008037172409744812
base,target_sentence_shuffle,target_shuffle,38.5,10.0,123870.72661935251,22359.99360434042,0.18064660756406462,32482.390753172564,0.018674417388635865,0.9915165236684911,0.005777820920830793,0.008483476331508952,2557.39041429817,0.0001711361932321995,2.0835513280985665,1.1415900760081337,0.4957862706058463,0.6797927348561907,708376601.7337813,6655.728065820388,0.0008123863640842548
base,target_word_shuffle,target_shuffle,38.5,10.0,120360.5658038513,21145.141456887333,0.17691839848157484,30750.153817491115,0.018493097762714995,0.9916016832239135,0.006097832173827356,0.008398316776086582,4033.9063602445435,0.0001244603514232661,2.1197394373503355,1.1431058040466857,0.49644454292905543,0.6765756325775423,622770009.0499706,8355.022958027806,0.0005246538522718626
instruct,control,control,38.5,10.0,104514.09176689097,21343.767310975716,0.20178516205855643,31482.214622997,0.02910228419877468,0.986744111068181,0.0100361270133407,0.013255888931819023,3414.1704278259003,0.0003426678388421873,2.5221778464615436,1.3121720098893714,0.5698690632028531,0.6101229392699635,661916364.6586473,9807.777075966987,0.0018504036058860764
instruct,question_only,question_only,38.5,10.0,97001.26391640327,19749.341585863287,0.20185140170712512,29679.108852914625,0.03011505830656094,0.9863035257647308,0.008774610546052535,0.013696474235269164,7394.725059571017,0.0011341727794842006,3.0799627999960717,1.507006856069199,0.6544847617812211,0.5451013926817297,549124337.5384232,0.0,6.1679056923619804e-18
instruct,target,target,38.5,10.0,107665.15937877526,20851.160040431932,0.1907325377850798,30828.615185479077,0.027199906400350842,0.9876331606159563,0.00878902537396752,0.01236683938404366,5718.292534100266,0.0002795858147373968,2.8304196086252476,1.4135407304556145,0.6138929391823652,0.5639172749681786,626926745.8882529,12661.231012112083,0.0021072216574256806
instruct,target_sentence_shuffle,target_shuffle,38.5,10.0,105477.67399208779,20047.783304773235,0.18640929035133358,29691.033296918853,0.027047701508387485,0.9877052488346525,0.008923503728843332,0.012294751165347593,3605.42359446519,0.00019061678442935012,2.889240164399781,1.4324636535970525,0.6221110602841711,0.55365629221891,586377785.9887248,10607.451931396108,0.0018736914554029606
instruct,target_word_shuffle,target_shuffle,38.5,10.0,98309.32912066783,17970.891210172864,0.1802002738132142,26686.767843782174,0.027965618374244574,0.9872951397259173,0.00926946506864031,0.01270486027408276,4931.042133907055,0.0002947393946283307,3.183891200484901,1.4713159305358732,0.6389843897680778,0.508521054754726,475368177.0219258,6436.418328327156,0.001924363623569773
