model_tag,layer,n_target,n_control,target_control_centroid_l2,target_control_centroid_cosdist,target_control_projection_gap,target_control_projection_gap_z,target_control_axis_auc_like,target_to_question_centroid_l2,control_to_question_centroid_l2,target_minus_control_to_question_l2,target_to_question_cosdist,control_to_question_cosdist,loo_question_balanced_acc,loo_question_auc_like,loo_question_projection_gap,loo_question_folds
base,0,10,10,0.0,6.072919944699606e-14,0.0,0.0,0.25,0.0,0.0,0.0,6.072919944699606e-14,6.072919944699606e-14,0.0,0.25,0.0,10
base,1,10,10,12.308615827841509,9.10503399290663e-05,12.308615827840299,0.061243932425560504,0.28,89.75716501709118,88.89713786398052,0.8600271531106642,0.006532300264778912,0.006399697677564653,0.5,0.45,9.128724564198755,10
base,2,10,10,14.59334651988472,0.00017370107595449102,14.593346519883724,0.19023652619118228,0.335,98.37231168633654,97.25104409345202,1.1212675928845215,0.008005876703905845,0.007874135383093228,0.55,0.5,10.37979022260597,10
base,3,10,10,31.14285687203728,0.0004918615324205344,31.14285687203642,0.1263643760321871,0.295,129.59331085345949,126.69756283302327,2.8957480204362156,0.013737866760045292,0.012181114767761514,0.5,0.5,29.33433235695852,10
base,4,10,10,22.786417304403237,0.0006297788673714777,22.786417304402192,0.13382162578255782,0.3,135.0878372260322,128.62160840836933,6.466228817662881,0.024855096204764227,0.022231398227406052,0.5,0.5,19.52035415492682,10
base,5,10,10,31.284513978570747,0.00039369689347601433,31.284513978569805,0.40320721104407536,0.32,242.51456672016272,253.4323832470168,-10.917816526854068,0.01631947295212588,0.016652455974495606,0.6,0.4,26.29508277988058,10
base,6,10,10,44.60624262466939,0.000803905052960241,44.60624262466834,1.6753537948992958,0.44,186.77010984186106,184.726915423476,2.0431944183850703,0.013556381596236178,0.013016785702784084,0.65,0.5,38.04643207041774,10
base,7,10,10,64.8098940794728,0.0014308309350610227,64.80989407947195,0.6661373390177757,0.37,211.87538513054022,212.49308127200322,-0.617696141463,0.013066629165337962,0.012569590916590379,0.5,0.35,22.570992177812524,10
base,8,10,10,76.53102085101092,0.000608737338813059,76.53102085100966,0.3898567392015026,0.335,206.49784491496283,205.40630479525092,1.0915401197119081,0.004525288568868691,0.004309078424506563,0.55,0.45,50.80725232584341,10
base,9,10,10,81.85437910024885,0.00030296630894022236,81.8543791002478,0.9284234190931283,0.395,296.53765174006884,285.21599529721885,11.321656442849985,0.001955591730811057,0.0018202806475468014,0.6,0.5,56.656791553374866,10
base,10,10,10,107.89833112398706,0.00040100953667254746,107.89833112398537,0.2282381078095747,0.33,319.9895047659252,342.9071690257604,-22.91766425983525,0.0018643978901120573,0.0017793442234552703,0.55,0.45,65.9502146590473,10
base,11,10,10,124.29988504029897,0.00015919890250537527,124.29988504029794,3.833929923654429,0.5,396.74523644785154,391.13494601037166,5.610290437479875,0.0006994897458503235,0.0006710094983286563,0.6,0.45,58.30384218024134,10
base,12,10,10,394.33429861413725,0.0002504449684191945,394.3342986141388,0.21930875570167638,0.33,308.5862152352447,476.5211424427606,-167.9349272075159,0.0008367959218337218,0.000724025401074635,0.5,0.5,378.3005625190891,10
