model_tag,condition,condition_family,seq_len_mean,logit_l2_mean,logit_std_mean,next_token_entropy_mean,next_token_entropy_norm_mean,top1_prob_mean,top1_top2_margin_prob_mean,top5_mass_mean,top20_mass_mean,top100_mass_mean
base,control,control,2521.6,2170.741162109375,3.2528791189193726,2.8153857359662653,0.22564797618513155,0.42916753217577935,0.3246739387512207,0.6440416067838669,0.7881192803382874,0.9437919855117798
base,question_only,question_only,16.6,2185.958630371094,3.375544548034668,2.9282742381095885,0.23469578150636905,0.41859813034534454,0.32597762197256086,0.5996443033218384,0.7657092094421387,0.9387906491756439
base,target,target,2075.6,2199.0865234375,3.2801403284072874,2.6926795781590043,0.21581330386263403,0.42986039221286776,0.3216444246470928,0.6660243570804596,0.8096939206123352,0.9509888350963592
base,target_sentence_shuffle,target_shuffle,2058.6,2193.5917358398438,3.285229206085205,2.7170742505230008,0.2177684918776596,0.4283614054322243,0.3188057191669941,0.6573698222637177,0.8002315819263458,0.9481524407863617
base,target_word_shuffle,target_shuffle,1952.6,2108.0065795898436,3.1982479095458984,2.8453490350395443,0.2280494793643734,0.4413635075092316,0.3351613894104958,0.6313709020614624,0.7790756523609161,0.936270934343338
instruct,control,control,2521.6,2199.210412597656,2.926634192466736,1.3056843315713196,0.10464819196598885,0.696890264749527,0.5506464838981628,0.8745658934116364,0.9351939022541046,0.9850103914737701
instruct,question_only,question_only,16.6,2373.348742675781,3.2472237586975097,0.911894789730286,0.0730866861928545,0.8163516342639923,0.7500608995556831,0.9118473172187805,0.9590638399124145,0.9904179453849793
instruct,target,target,2075.6,2072.258544921875,2.7636584997177125,1.482367231004173,0.11880900061619726,0.6538913369178772,0.5062273532152176,0.8579721629619599,0.9348251044750213,0.9844715178012848
instruct,target_sentence_shuffle,target_shuffle,2058.6,2113.7902587890626,2.848080205917358,1.3478336800122634,0.10802638453538349,0.686752051115036,0.543749013543129,0.8742101550102234,0.9409493148326874,0.9865323603153229
instruct,target_word_shuffle,target_shuffle,1952.6,2139.070446777344,2.8959000587463377,0.9971260061778594,0.07991781105560483,0.7225938856601715,0.5424319773912429,0.9273563683032989,0.9637509047985077,0.9911519289016724
