condition,layer,n_points,linear_cka_base_instruct,same_prompt_delta_l2_mean,same_prompt_delta_l2_std,same_prompt_cosdist_mean,base_norm_mean,instruct_norm_mean,instruct_over_base_norm_mean
all,0,410,0.9999061243924287,8.606240060749364,3.026016589957036,0.011692187141725974,59.82423624170758,59.59164820557361,0.9961123903049995
all,1,410,0.9957277501449354,114.54325414169347,32.147901225874875,0.009436110489802372,897.4121508583963,855.8787190417836,0.9310293868266402
all,2,410,0.9938867992323851,124.26277538264397,18.990830299828694,0.008858455177682705,886.2588523589416,865.4795386957771,0.9586618384308012
all,3,410,0.9908303166646986,153.169675203996,34.00280280313897,0.012053436791635503,914.4455242941416,810.5210202718245,0.8826966797391709
all,4,410,0.9941314974453291,159.51434820762273,26.707777052069794,0.014307482658105213,787.4589941735084,683.7578879319063,0.8699926102377646
all,5,410,0.996880415593725,137.227352274455,23.248515953745265,0.0056251417912186,1068.945957193524,985.3629039494076,0.921643774616525
all,6,410,0.9884940345307721,180.81126269764408,68.04296702956316,0.006941521972816434,1198.072694254828,1096.740795496247,0.9233482700005795
all,7,410,0.9805917760012907,228.8207422420497,89.39661722850805,0.008314168142702394,1315.4918268040738,1151.2928764009073,0.8785972069197175
all,8,410,0.9774447749727126,312.5978259873892,167.62361230276906,0.0034645654669739874,2161.3209166187817,1903.3247415650828,0.8886147258778498
all,9,410,0.9817875905474049,546.896664904298,219.76558452943289,0.0019118635312832196,3316.881727132186,2805.6849795603575,0.8508651362522835
all,10,410,0.9730071677865596,565.8541852094768,331.02171325370944,0.002246780952663583,3558.01231377509,3050.363627770381,0.867576250356611
all,11,410,0.9681050398466099,875.7818447284991,388.4121149087983,0.0008706085621432469,6790.846943374273,5966.501636123685,0.8812095242258807
all,12,410,0.944427431033849,1062.8196000115397,557.7779368420512,0.0011229349035693284,7234.177263825357,6229.57995497907,0.8673678013335768
all,13,410,0.9076583864846767,1184.0134531508784,485.95201186604316,0.0012437760564289117,8161.576773272703,7086.18526939823,0.8706360343200009
all,14,410,0.9403507049103,1795.2055311968732,655.8376877704061,0.0005417602591733114,14268.324380419159,12540.721481712993,0.8816737780218422
all,15,410,0.8845014191011327,1993.970719826189,890.0078937109038,0.0004158643515506435,18770.39229496322,16882.014336585933,0.9018106012230914
all,16,410,0.7513670416134222,2282.8626366521457,1002.9817865207585,0.000381508616050818,23390.164927005695,21293.235427291627,0.9123911404851485
all,17,410,0.6936826401941207,2848.1395940661146,1599.0139942240392,0.0004229989034125295,26310.823419185635,23820.08006542374,0.9117879212465262
all,18,410,0.5091530460011249,3107.1560647863807,1732.026292964797,0.0004517610458394102,31271.31389616737,29074.03857378618,0.9373735619959515
all,19,410,0.5164394825451374,2946.263174708579,1886.5657734542108,0.00044201735105596447,35760.04909414301,35299.13969389374,0.9945556085586078
all,20,410,0.5497797069670117,3410.986383977024,2075.660478691394,0.00047493018623614655,38913.185504953035,38818.45375518764,1.0066867659158305
all,21,410,0.5735951790423748,3596.1227217290375,2127.448412206677,0.0004899854262411649,42097.67353103697,42889.97408130794,1.0273374666371495
all,22,410,0.7743430969672436,3895.63981537669,2189.8763460846926,0.0005388372833538251,47656.799136992435,49525.51742858323,1.045572894121128
all,23,410,0.8227397872035797,3978.344452107924,2263.7302534978335,0.000654663353356703,53611.2223046348,54923.144489295635,1.0295378249228537
all,24,410,0.9072778191189101,4303.609159494404,1923.4220660804451,0.0008261057640670741,60935.76537638476,59224.67317971864,0.9786351942283709
all,25,410,0.9073499610387336,5047.946247552001,2320.5762444572038,0.000910987901534407,65333.635344512695,62417.05476464798,0.9614765206996326
all,26,410,0.9149291019677532,4523.20055381564,1873.4559828414233,0.0010428188915316597,66269.30809939666,64453.244559800696,0.9756585564572829
all,27,410,0.9309014329632905,5281.949723957738,2366.851891024165,0.0013212917764418783,68472.01434524974,65691.82212154963,0.9629546978453366
all,28,410,0.9068951091750421,6891.483771005959,3084.1378573320344,0.0017611993533638304,69923.42903444504,64895.04194243201,0.9309636672291381
all,29,410,0.8964968995006862,8566.541730159957,3578.7149516507793,0.0021787696491464255,73717.62838721019,66906.64840085892,0.9100858406622653
all,30,410,0.9026643042903876,8701.579847156008,3704.7915261258354,0.0026362494091903992,72916.35078694102,66239.81132234691,0.9116709723151166
all,31,410,0.8851143781889715,11290.998403189915,4689.754078732561,0.0030567193209183005,74795.23304966197,65124.10598201492,0.8743807033949186
all,32,410,0.885399541337398,11738.085853272645,4783.551613640996,0.003574709851763176,75893.12092025629,66008.8143105828,0.8743204392462395
all,33,410,0.8871749507558319,11911.857393885673,4881.599547682334,0.004013459385957705,77256.96886763071,67556.5213448149,0.8801002429777175
all,34,410,0.8881036710524585,12485.932301705509,4920.470811766977,0.004595087832551643,80679.88419623207,70868.58844497011,0.8838548635608047
all,35,410,0.8629910995868842,14520.284791455259,5822.992820185759,0.004483876177511176,90326.13155168625,78571.056279693,0.8754381978370147
all,36,410,0.8742161397038262,15959.181639869554,6132.70493075767,0.005413898100788526,91853.3273306582,79067.54836026815,0.8680814514437172
all,37,410,0.883342944205456,20789.717674200838,7697.752243695491,0.005722397521304498,101259.33883743486,83350.40690097245,0.8323058272632904
all,38,410,0.8839193442454903,23035.91437069838,8325.633904093518,0.00584794849895378,108106.2549437324,87997.16197928828,0.8230256552582947
all,39,410,0.8859448433380079,24985.50696332581,8885.215935548742,0.006074709860575159,115480.81749875566,93663.96491969792,0.819988560932273
all,40,410,0.8918121342596349,27294.838035845703,9425.4729565693,0.006259549902202782,126090.35530028895,102191.9599762673,0.8180701760854104
all,41,410,0.8828406926302725,28710.195976703148,9271.11114133375,0.005620393444665047,142106.25534299712,117075.16541503451,0.8290698959674426
all,42,410,0.8960850991313803,34695.931816490636,10180.84260577262,0.005990637117827628,155315.55838666708,124153.52311927236,0.8036171973476685
all,43,410,0.9065696920114718,35614.290339963336,9451.02476910815,0.006683327232593889,161005.37129329724,129471.26382549321,0.8071498642166857
all,44,410,0.9221297239808202,39092.59103923188,9232.90362172528,0.007131604019040648,173115.23027248218,138374.1967746903,0.8006458970417132
all,45,410,0.930924769901653,39812.932589205506,8669.014661551837,0.007424280412193668,185458.1788098389,150937.31996989736,0.8142752101401328
all,46,410,0.9305440720299405,34776.08277896157,7370.294561140373,0.007299121034436909,194262.80523905784,166970.8041717107,0.8585866319182074
all,47,410,0.8583694631036305,34572.80144812712,10135.700934937919,0.006678136309480698,214311.18912342118,190041.5068759514,0.8876248940591999
all,48,410,0.9500072350325941,75.67666722058821,22.85233237135389,0.12020931209672892,145.58310480410256,150.72435109408553,1.0377810058758454
target,0,100,0.9999061243924284,8.606240060749366,3.026016589957037,0.01169218714172597,59.824236241707574,59.59164820557363,0.9961123903049993
target,1,100,0.9958381272633332,114.4354437501979,31.852119452680242,0.009414343915492852,895.5267147694067,855.4746802631116,0.9320612601753937
target,2,100,0.9942155781554743,124.14220655542157,18.22796536564868,0.008796339985687547,884.8471020727576,866.271126230205,0.9605013661528463
target,3,100,0.9912521832548514,154.38070756518982,34.48046600375832,0.012331434911851505,912.1303111538969,806.3583440326443,0.8805047864349028
target,4,100,0.9943963253900954,159.7744401592659,27.276016315910134,0.014207614383090454,789.3679876262315,685.0189358672781,0.8696798645622387
target,5,100,0.9974147664567169,131.43493216714793,20.559261033192552,0.005364732536284825,1062.7860853883758,984.058268814262,0.9255122221216885
target,6,100,0.9907969763177085,172.05637352472485,69.41097722492147,0.006259998922300321,1200.3806225563355,1107.961510297764,0.9303252386144564
target,7,100,0.9800175118527422,230.33086948694367,88.22465261813683,0.007310515373086216,1338.7227147004735,1168.8302540248994,0.8748279121909676
