model_tag,condition,condition_family,layer,n_points,centroid_norm,abs_disp_l2_mean,rel_disp_l2_mean,pairwise_l2_mean,pairwise_cosine_distance_mean,cos_to_centroid_mean,cos_to_centroid_std,angular_disp_to_centroid,centroid_to_global_l2,centroid_to_global_cosdist,effective_rank_pr,spectral_entropy,spectral_entropy_norm,top1_pc_variance_share,cov_trace,centroid_to_question_only_l2,centroid_to_question_only_cosdist
base,target,target,0,100,33.10863497389326,47.64500221765639,1.4390506360417417,59.545789678247665,0.7007105578539526,0.5534406448713828,0.35116718606662145,0.4465593551286172,0.0,6.072919944699606e-14,3.666559421080565,1.4604499442481123,0.3171326759414334,0.44082950208445315,2507.8359013969734,0.0,6.072919944699606e-14
base,target,target,1,100,774.0249013993924,508.39366207267545,0.6568182252967939,622.36095012038,0.32051174005621547,0.820997501679662,0.18076246486071357,0.179002498320338,5.050751620538103,1.8425152274126333e-05,1.7903726917000566,0.9261859287003937,0.2011187190255098,0.7323909854383168,274473.037846536,77.59890544017469,0.004823587136774221
base,target,target,2,100,762.3385864382316,479.61198164289823,0.6291325011944127,591.6766251531644,0.30759037764706976,0.8304952276982953,0.1622929543060285,0.1695047723017047,7.414691110247628,4.611505286533646e-05,2.00268194966329,1.032865772606715,0.22428395279491758,0.6846743814781302,246327.67062329737,81.94389738249627,0.005741277707001502
base,target,target,3,100,773.2772899296717,492.6939075831874,0.6371503650753748,618.3023638836257,0.31680369470191677,0.8261720935352789,0.1487851293741974,0.17382790646472113,10.895757420650328,9.724928754750728e-05,2.1546186494185466,1.124269437556951,0.24413200645172817,0.6567579518743352,260782.59907565688,86.41979948215476,0.006249587522962119
base,target,target,4,100,605.2961387385261,497.8932268700045,0.8225613794722751,627.1920802894991,0.4336189418813335,0.7543208549938882,0.17702836391698473,0.24567914500611177,12.295122910795133,0.0001921444382143589,2.3682348795987034,1.2053477591587205,0.261737940288541,0.6187016023342745,266238.240120825,89.43275164773931,0.010884925114746369
base,target,target,5,100,951.722015646848,461.89320250475635,0.48532365009001627,603.0038104362962,0.20079133275798355,0.8949857430139673,0.06737462758717488,0.10501425698603273,16.64151465445685,0.000129860662017367,3.5813620694972688,1.4901947308287338,0.3235916742801103,0.4401631239488079,235763.13432099126,213.5610667737685,0.009034947033345175
base,target,target,6,100,1089.5776179294041,505.8227882282245,0.46423749892134564,660.1833951242111,0.1735871618374233,0.9095087484366221,0.04829255524970988,0.0904912515633779,26.594058083786813,0.00029398567923577534,3.6479103800386956,1.518285445528502,0.3296914954735243,0.4307827443357189,281798.07986480766,142.66551995390708,0.0076389357649397915
base,target,target,7,100,1192.5021184011314,685.5611047624452,0.5748929869253592,893.9743356795192,0.20769567746683862,0.888570376761463,0.05868853488074223,0.111429623238537,46.863160001728,0.0005098017924165532,3.026866596156152,1.4000394453523013,0.30401470278169684,0.5084512413113169,532476.927516783,170.4492364282369,0.00785708218942116
base,target,target,8,100,2083.4088884229714,865.33812701412,0.4153472377998416,1098.4632850784012,0.07894841035038541,0.9587328908534704,0.014601604422631222,0.041267109146529646,39.820029940843725,0.00016766364193698813,2.036689207907814,1.118268663721372,0.24282895496975745,0.6816884803954827,829998.7279383909,175.48968692959394,0.002838880103596342
base,target,target,9,100,3217.4173149007634,1050.2046594066812,0.3264123228724133,1312.255131223453,0.03613457302180224,0.9813833466905456,0.004771121387266421,0.01861665330945439,57.591848234346955,8.84031588043177e-05,1.671727994680744,0.9324767577007185,0.2024847551862288,0.764950368794003,1186418.7572185807,336.61010406491096,0.0012786644387078328
base,target,target,10,100,3493.2780163379257,1470.5976386170637,0.42097927268861374,1818.5733337089234,0.038983752131147485,0.9790452057274592,0.004316560534922747,0.020954794272540767,50.198508581347475,0.0001023907634770671,1.3330463984363352,0.626150113274748,0.13596676951915956,0.8635945681684333,2390204.409096447,380.21621370511883,0.0012968198142273568
base,target,target,11,100,6805.589068506002,1830.5627499538334,0.2689793244239602,2311.0307066415544,0.011976777923474855,0.9939218385945091,0.001704109317761724,0.0060781614054908895,84.62450588872346,4.289506853161207e-05,1.25043097565649,0.5355840896717603,0.11630060736981095,0.8928801449912299,3939725.3293224135,506.20674965506595,0.000526156388060528
base,target,target,12,100,7269.673622408204,1860.97537434597,0.25599159893638934,2387.6097821013354,0.012705747188753889,0.9935841061484019,0.002170823290502095,0.006415893851598131,115.87993926151876,6.317894926721745e-05,1.3058865100634882,0.6205067598702056,0.13474133089764823,0.873157784730397,4117984.0675274148,366.7621793392213,0.0006255242756163515
base,target,target,13,100,8255.321659429866,1890.8292237768171,0.2290436765255495,2518.911094310854,0.011403831612987097,0.9942707022349963,0.001988118740244974,0.005729297765003749,170.05783652536385,6.532024553695948e-05,1.3457287920994199,0.6831495903059445,0.14834404869216944,0.8597908259842655,4436525.149481279,632.1258107066595,0.0005914404932624295
base,target,target,14,100,14672.175728176606,2230.0706811266746,0.15199318236381412,3032.93077977612,0.004581390921744381,0.997719685991681,0.0008029243205355383,0.002280314008318962,453.3597504858893,3.2373537413254994e-05,1.2886504599859765,0.6164348152559492,0.1338571193593546,0.879366005649434,6775306.228124829,403.24013046261456,0.00025622624084553625
base,target,target,15,100,19162.66096866097,2701.807599235251,0.14099334135555838,3683.5391295256745,0.0031129387514113004,0.9984530560097983,0.0005884608161590386,0.0015469439902017212,441.12306936182745,2.2989730376732354e-05,1.2257851875663863,0.5262025779106049,0.11426343797492082,0.9022538287806441,10005317.489854092,516.0522410507186,0.00019613015246733312
base,target,target,16,100,23654.143173625274,2302.5762242605037,0.09734346356827293,3255.678374023529,0.002458904332425139,0.9987808250642396,0.0004826959739704439,0.0012191749357604031,328.14830840707486,1.989606994834414e-05,1.4641834731986594,0.8504022811388815,0.184662509048277,0.8230122373924994,6971989.105456329,688.2447566779925,0.0001614262936228128
base,target,target,17,100,26557.858324260174,3246.1984494488215,0.1222311833211141,4467.21952126905,0.002251509288785264,0.9988823257963411,0.00033166347117128764,0.001117674203658936,321.6063226898863,1.9146020717397683e-05,1.236323367770579,0.5595249646596019,0.12149930231938853,0.89846712447798,13686232.849739669,1152.00288294447,0.00018432549810221133
