model_tag,condition,condition_family,layer,n_points,centroid_norm,abs_disp_l2_mean,rel_disp_l2_mean,pairwise_l2_mean,pairwise_cosine_distance_mean,cos_to_centroid_mean,cos_to_centroid_std,angular_disp_to_centroid,centroid_to_global_l2,centroid_to_global_cosdist,effective_rank_pr,spectral_entropy,spectral_entropy_norm,top1_pc_variance_share,cov_trace,centroid_to_question_only_l2,centroid_to_question_only_cosdist
base,control,control,38.5,100.0,124106.9897579855,23146.024942138036,0.18757033279429278,30908.62782107233,0.01791066606284421,0.991041351535141,0.006391493567684076,0.008958648464859116,2656.049154594013,0.00015729096674018303,2.0232492618916336,1.1713425010783955,0.2543537923185505,0.6967075581882693,671645785.493965,4587.866507916545,0.00029409408892690074
base,question_only,question_only,38.5,10.0,127500.85859058368,24826.219943778782,0.19716132963208283,35453.92798506747,0.019481200227061932,0.9911246614000255,0.006523209779120029,0.008875338599974494,5761.039668924914,0.0004523648233166138,1.7910727654741965,0.9788883757237063,0.42512581997604265,0.7458288615324007,825350316.5025771,0.0,-3.0839528461809905e-17
base,target,target,38.5,100.0,126770.0636043656,24827.819491349375,0.1960630388994813,32902.2693971335,0.018045643302665608,0.9909663372002474,0.0061406803072315205,0.00903366279975254,3950.7398456246174,0.00012320375120408424,1.9113865977812152,1.154994992413979,0.2508039759156396,0.7176853588273461,769277877.455956,5347.72151608287,0.0007627653703464188
base,target_sentence_shuffle,target_shuffle,38.5,100.0,125158.1652418687,23794.973768338594,0.189814488037847,32125.323883699137,0.017654186417289105,0.9911733931356184,0.005960453692399041,0.008826606864381668,2603.845321475242,9.74505037896509e-05,2.0207047667257454,1.2403041278442875,0.26932861930229973,0.6956323863070294,722931190.4173838,6103.88076864144,0.0008195544941774521
base,target_word_shuffle,target_shuffle,38.5,100.0,117064.49828903936,20576.524104552707,0.17714915182067073,27877.885790037977,0.01705093686664356,0.9914870020159979,0.005912167977478166,0.008512997984002056,6686.721075100774,0.00016916710905078784,2.2469563199949647,1.3041520626286132,0.28319302218117537,0.6575285445668446,535970767.67479634,11307.073023248598,0.0005660273503315413
instruct,control,control,38.5,100.0,101344.05676074814,20480.8858742226,0.19853895107137481,27894.979706032933,0.026725015237692835,0.9866175084070442,0.010252943797307642,0.013382491592955724,4381.012473532552,0.0007508519175004613,2.683813599616636,1.4906750516925338,0.323695974630456,0.5887850297360155,557027210.5352607,8193.52841005853,0.0023176578458997308
instruct,question_only,question_only,38.5,10.0,97001.26391640327,19749.341585863287,0.20185140170712512,29679.108852914625,0.03011505830656094,0.9863035257647308,0.008774610546052535,0.013696474235269164,8059.390690749154,0.0013793931659552621,3.0799627999960717,1.507006856069199,0.6544847617812211,0.5451013926817297,549124337.5384232,0.0,6.1679056923619804e-18
instruct,target,target,38.5,100.0,107949.73209662443,21248.749727268863,0.19500353339288604,29208.85756084111,0.024505847064995537,0.9877384357224054,0.008551548148435272,0.012261564277594691,5746.612885704265,0.00034945279111554665,2.6360216402313608,1.5920294003736317,0.34570479180500546,0.6014327149456926,580324709.8538239,12583.605017050317,0.0017271761030004508
instruct,target_sentence_shuffle,target_shuffle,38.5,100.0,105211.27075405876,20331.595341591597,0.1909735232062058,27974.26189611902,0.02453579662084989,0.9877329669007854,0.00849647227929168,0.01226703309921457,2956.4238525256897,0.0001565888072394365,2.9025361872856688,1.638339295393505,0.3557608577373304,0.5647972366791485,534580766.1355737,10064.510878115996,0.0015442948741681778
instruct,target_word_shuffle,target_shuffle,38.5,100.0,98104.9704780962,18357.430477492526,0.18495458834283326,25429.059149146142,0.025347925188229124,0.9873376005329857,0.008667876980730245,0.01266239946701435,5315.299826957209,0.00021536603292600221,3.4171442516824757,1.730549023745196,0.37578394583779906,0.5001727005565778,440534388.1698692,5964.846597493075,0.001666179234657635
