model_tag,layer,n_target,n_control,target_control_centroid_l2,target_control_centroid_cosdist,target_control_projection_gap,target_control_projection_gap_z,target_control_axis_auc_like,target_to_question_centroid_l2,control_to_question_centroid_l2,target_minus_control_to_question_l2,target_to_question_cosdist,control_to_question_cosdist,loo_question_balanced_acc,loo_question_auc_like,loo_question_projection_gap,loo_question_folds
base,0,100,100,0.0,6.072919944699606e-14,0.0,0.0,0.5,0.0,0.0,0.0,6.072919944699606e-14,6.072919944699606e-14,0.0,0.5,0.0,10
base,1,100,100,12.888266108471733,0.00010463042676445156,12.888266108470646,0.07258218042924687,0.5632,77.59890544017469,70.66814400202207,6.930761438152615,0.004823587136774221,0.00404077057981389,0.5,0.893,10.649337099863024,10
base,2,100,100,22.90367937851746,0.00030223164832499094,22.903679378516472,0.1416009846856109,0.6147,81.94389738249627,76.68015939414401,5.263737988352261,0.005741277707001502,0.00487581379012314,0.55,0.986,20.63143810128877,10
base,3,100,100,34.88140379146878,0.0009438543951799661,34.88140379146782,0.6529471345407579,0.7243,86.41979948215476,86.96797026396239,-0.5481707818076273,0.006249587522962119,0.006187719963289151,0.5,1.0,32.86563324742313,10
base,4,100,100,34.905120058744586,0.001661020964945692,34.905120058743556,0.6746323701798925,0.7263,89.43275164773931,89.49251495226345,-0.05976330452413947,0.010884925114746369,0.010892341045035336,0.51,1.0,32.7706368069689,10
base,5,100,100,44.37702789615955,0.0010315429304098567,44.37702789615855,0.8976931101020913,0.7779,213.5610667737685,223.81355888649145,-10.252492112722962,0.009034947033345175,0.009505796859512139,0.72,0.942,39.77391352802739,10
base,6,100,100,56.62780148192076,0.0013498666087197186,56.627801481919775,4.606058326487475,1.0,142.66551995390708,136.7963477077997,5.869172246107382,0.0076389357649397915,0.006984510373479247,0.945,0.994,50.000795036293866,10
base,7,100,100,71.88273811418799,0.0018095206618662374,71.88273811418699,2.14947069690823,0.932,170.4492364282369,162.11453890420321,8.334697524033686,0.00785708218942116,0.00705800766762843,0.75,0.9460000000000001,55.03765050051747,10
base,8,100,100,80.95638089037298,0.0007455334516516254,80.95638089037197,0.6947578602169205,0.6996,175.48968692959394,172.4904086396946,2.999278289899337,0.002838880103596342,0.002549254391092326,0.49499999999999994,0.938,59.82312916072031,10
base,9,100,100,116.3305383086102,0.000354403614462373,116.33053830860945,0.2110448158164083,0.658,336.61010406491096,266.7318869574659,69.87821710744504,0.0012786644387078328,0.0011148208935133352,0.505,0.881,102.06137785016986,10
base,10,100,100,113.56311202434347,0.00047781758061615776,113.56311202434267,0.3181892249837199,0.6613,380.21621370511883,347.071716651355,33.144497053763814,0.0012968198142273568,0.0011730025394076637,0.525,0.812,68.85488856083377,10
base,11,100,100,170.73526297301083,0.0001954428357496818,170.73526297300805,0.16016919958901854,0.5942,506.20674965506595,406.182977123776,100.02377253128992,0.000526156388060528,0.0004362702128158924,0.51,0.7889999999999999,130.03773926488967,10
base,12,100,100,276.2019576596907,0.00028466266794435757,276.20195765968765,0.1847472446942779,0.6167,366.7621793392213,525.7459484201712,-158.9837690809499,0.0006255242756163515,0.00048688246955930214,0.5,0.876,258.59303519456574,10
base,13,100,100,271.3085717577215,0.00027948169681657475,271.30857175772053,0.20578609452634233,0.5715,632.1258107066595,794.4089374554899,-162.28312674883034,0.0005914404932624295,0.00047512545623429325,0.55,0.733,229.81277561850266,10
base,14,100,100,685.3852648787888,0.00012808225238003512,685.3852648787906,0.30354910512401473,0.6126,403.24013046261456,917.6851469040121,-514.4450164413975,0.00025622624084553625,0.0002010090064408221,0.545,0.9029999999999999,669.5819146521987,10
base,15,100,100,779.5093170132117,9.08225606389701e-05,779.5093170132131,0.2886779293340597,0.5741,516.0522410507186,1132.4430359779021,-616.3907949271835,0.00019613015246733312,0.00015189806462390099,0.525,0.804,757.6655115561928,10
base,16,100,100,577.0178770637727,7.427249411884329e-05,577.0178770637685,0.2826922567319402,0.5524,688.2447566779925,1104.5144047966835,-416.26964811869095,0.0001614262936228128,0.00012513723937379595,0.52,0.708,504.88169505358036,10
base,17,100,100,415.41313626435584,7.105495108739035e-05,415.4131362643566,0.177997721152713,0.5417,1152.00288294447,1373.6080227145783,-221.60513977010828,0.00018432549810221133,0.00013755091937683872,0.53,0.6689999999999999,283.97145123172294,10
base,18,100,100,1093.1497828521217,0.00010169136009674506,1093.1497828521096,0.31895601919367295,0.6466,597.6384107648962,1160.1039638080558,-562.4655530431596,0.0001759540738491827,0.0001490351276108859,0.6449999999999999,0.807,1055.1272372443157,10
base,19,100,100,1237.8126301654045,9.488286470016316e-05,1237.8126301653974,0.28797480795755775,0.6578,709.8684054770779,1081.739406670587,-371.8710011935091,0.0001705203191736393,0.0001381098527439839,0.65,0.7979999999999999,1195.4792677885202,10
base,20,100,100,1873.0645823502812,8.984072170814539e-05,1873.0645823502928,0.34012361601849983,0.6465,1126.1801836092793,1150.7904822242308,-24.61029861495149,0.00018279696171030757,0.00013168665757035125,0.635,0.859,1840.7913188197551,10
base,21,100,100,1580.4808400243342,7.866134262524138e-05,1580.4808400243346,0.28061520246151284,0.6513,1157.2958445321606,900.6828448477081,256.61299968445246,0.0001673134968905865,0.0001149684110299809,0.6450000000000001,0.8,1532.4477778041157,10
base,22,100,100,1229.3347374110938,7.581305784076786e-05,1229.3347374110817,0.17717639184223236,0.5878,1543.0157010951136,736.5075928850314,806.5081082100822,0.0001621724773741562,0.00011039456364436706,0.5,0.7689999999999999,1134.5644999733972,10
