model_tag,condition,condition_family,seq_len_mean,logit_l2_mean,logit_std_mean,next_token_entropy_mean,next_token_entropy_norm_mean,top1_prob_mean,top1_top2_margin_prob_mean,top5_mass_mean,top20_mass_mean,top100_mass_mean
base,control,control,296.6,2199.07345703125,3.342423961162567,2.783375690318644,0.2230824300414162,0.4170208112895489,0.2943324164301157,0.6500277933478356,0.7968209880590439,0.9454546165466309
base,question_only,question_only,16.6,2185.958630371094,3.375544548034668,2.9282742381095885,0.23469578150636905,0.41859813034534454,0.32597762197256086,0.5996443033218384,0.7657092094421387,0.9387906491756439
base,target,target,580.9,2189.919619140625,3.345786452293396,2.7774714760202914,0.222609218150638,0.42991862960159777,0.3335031225159764,0.6419903758168221,0.7912040030956269,0.9451396840810776
base,target_sentence_shuffle,target_shuffle,572.1,2150.201394042969,3.3105648446083067,2.8800159756001085,0.2308279707370083,0.4189113140106201,0.3247499317675829,0.6194496443867683,0.7720762109756469,0.9370736426115036
base,target_word_shuffle,target_shuffle,572.3,2054.0201916503906,3.1525101351737974,2.827805681619793,0.2266434119313761,0.45661725752055643,0.35704315833747385,0.6408901324868203,0.7810062289237976,0.9320600122213364
instruct,control,control,296.6,2281.924044189453,3.099161868095398,1.1761644161315143,0.09426740953134644,0.6776087191700936,0.4812745088338852,0.9066730630397797,0.9534742683172226,0.9893858844041824
instruct,question_only,question_only,16.6,2373.348742675781,3.2472237586975097,0.911894789730286,0.0730866861928545,0.8163516342639923,0.7500608995556831,0.9118473172187805,0.9590638399124145,0.9904179453849793
instruct,target,target,580.9,2131.7326599121093,2.8629890847206116,1.76833501433146,0.1417287912287628,0.6142190094292164,0.4987924459576607,0.8078850170969963,0.9058069258928299,0.9777354300022125
instruct,target_sentence_shuffle,target_shuffle,572.1,2129.6461828613283,2.879102702140808,1.5191844897974078,0.12175983603077195,0.6377483308315277,0.4916464364528656,0.8505255782604217,0.9269622105360031,0.982720029950142
instruct,target_word_shuffle,target_shuffle,572.3,2108.5341467285157,2.845986032485962,1.226511597596218,0.09830264330375767,0.6992049717903137,0.5409995421767235,0.8948580747842789,0.946501949429512,0.985889904499054
